SampleID,PlotID,Block,Irrigation,Fertilization,x,rep,rep2,var3,Date,Depth,GWC,TS,NH4,NO3,Nmin_tot,C_tot,N_tot,C_gkg,N_gkg,pH,K_test,Mg_test,P_test,K_mgkg,Mg_mgkg,P_mgkg
S61,13,7,Control,D,cont.D,11,3,CDBS3,5/7/22,0-15cm,0.287,77.7,0.1,12.9,12.9,1.65,0.186,16.5,1.9,6.75,1.08,12.3,4.6,9,123,0.7
S62,14,7,Rainout,D,rain.D,11,3,RDBS3,5/7/22,0-15cm,0.087,92,0.3,8.7,9,1.72,0.193,17.2,1.9,6.74,1.05,13.3,7,8.7,133,1.1
S63,15,8,Control,M,cont.M,11,3,CMBS3,5/7/22,0-15cm,0.294,77.3,1.8,4.2,6,1.26,0.14,12.6,1.4,5.88,1.03,14.7,4.4,8.5,147,0.7
S64,16,8,Rainout,M,rain.M,11,3,RMBS3,5/7/22,0-15cm,0.076,93,4.2,9.1,13.3,1.21,0.139,12.1,1.4,5.74,0.79,15.3,4,6.6,153,0.6
S65,17,9,Control,K,cont.K,11,3,CKBS3,5/7/22,0-15cm,0.278,78.2,1.5,12.2,13.7,1.37,0.155,13.7,1.6,6.04,1.48,11.8,7.9,12.3,118,1.2
S66,18,9,Rainout,K,rain.K,11,3,RKBS3,5/7/22,0-15cm,0.084,92.3,6.4,17.6,24,1.45,0.165,14.5,1.7,6.03,1.48,11.4,12.5,12.3,114,1.9
S67,19,10,Control,K,cont.K,12,4,CKBS3,5/7/22,0-15cm,0.259,79.4,0.6,10,10.5,1.46,0.163,14.6,1.6,6.24,0.96,11,7.9,8,110,1.2
S68,20,10,Rainout,K,rain.K,12,4,RKBS3,5/7/22,0-15cm,0.055,94.8,8.8,12.4,21.2,1.35,0.153,13.5,1.5,6.2,1.21,11,8.2,10,110,1.3
S69,21,11,Control,D,cont.D,12,4,CDBS3,5/7/22,0-15cm,0.294,77.3,0.1,18,18,1.89,0.215,18.9,2.2,6.77,0.98,17.9,5.1,8.1,179,0.8
S70,22,11,Rainout,D,rain.D,12,4,RDBS3,5/7/22,0-15cm,0.105,90.5,0,11.5,11.5,2.11,0.242,21.1,2.4,6.74,1.02,18.3,7.4,8.5,183,1.1
S71,23,12,Control,M,cont.M,12,4,CMBS3,5/7/22,0-15cm,0.296,77.1,0.5,8.6,9,1.69,0.199,16.9,2,6.05,0.59,19.8,6,4.9,198,0.9
S72,24,12,Rainout,M,rain.M,12,4,RMBS3,5/7/22,0-15cm,0.091,91.7,10.3,31.8,42,1.79,0.212,17.9,2.1,6.2,0.97,19.3,7.7,8.1,193,1.2
S73,1,1,Control,M,cont.M,13,1,CMBS4,20/07/2022,0-15cm,0.237,80.8,0.1,14,14.1,1.46,0.163,14.6,1.6,6.71,1.11,15.6,6.2,9.2,156,1
S74,2,1,Rainout,M,rain.M,13,1,RMBS4,20/07/2022,0-15cm,0.174,85.2,18.2,58.7,76.9,1.42,0.17,14.2,1.7,6.19,2.55,17,10.6,21.2,170,1.6
S75,3,2,Control,D,cont.D,13,1,CDBS4,20/07/2022,0-15cm,0.255,79.7,0.1,16.4,16.4,1.65,0.185,16.5,1.9,6.96,1.52,13.6,6.1,12.6,136,0.9
S76,4,2,Rainout,D,rain.D,13,1,RDBS4,20/07/2022,0-15cm,0.192,83.9,0,25.8,25.8,1.71,0.187,17.1,1.9,6.88,2.07,13.2,8.6,17.2,132,1.3
S77,5,3,Control,K,cont.K,13,1,CKBS4,20/07/2022,0-15cm,0.262,79.2,0.5,15.5,15.9,1.45,0.164,14.5,1.6,6.19,1.28,11.6,9.4,10.6,116,1.5
S78,6,3,Rainout,K,rain.K,13,1,RKBS4,20/07/2022,0-15cm,0.161,86.2,13.4,57.9,71.2,1.49,0.177,14.9,1.8,6.17,1.68,11.8,6.5,13.9,118,1
S79,7,4,Control,K,cont.K,14,2,CKBS4,20/07/2022,0-15cm,0.243,80.4,0.6,12.9,13.6,1.41,0.161,14.1,1.6,6.17,0.92,11,7.2,7.6,110,1.1
S80,8,4,Rainout,K,rain.K,14,2,RKBS4,20/07/2022,0-15cm,0.167,85.7,16.9,55.7,72.6,1.53,0.173,15.3,1.7,6.08,1.8,12.4,8.9,14.9,124,1.4
S81,9,5,Control,M,cont.M,14,2,CMBS4,20/07/2022,0-15cm,0.286,77.8,0.9,8,8.9,1.11,0.128,11.1,1.3,5.9,0.57,14.7,3.5,4.7,147,0.5
S82,10,5,Rainout,M,rain.M,14,2,RMBS4,20/07/2022,0-15cm,0.162,86.1,10.9,42,52.9,1.24,0.145,12.4,1.5,5.92,1.26,15.7,8.2,10.5,157,1.3
S83,11,6,Control,D,cont.D,14,2,CDBS4,20/07/2022,0-15cm,0.266,79,0,17.7,17.7,1.58,0.179,15.8,1.8,6.88,2.43,13.1,10.3,20.2,131,1.6
S84,12,6,Rainout,D,rain.D,14,2,RDBS4,20/07/2022,0-15cm,0.184,84.5,0,26,26,1.64,0.185,16.4,1.9,6.95,2.7,13.2,9.4,22.4,132,1.5
S85,13,7,Control,D,cont.D,15,3,CDBS4,20/07/2022,0-15cm,0.281,78.1,0.6,26,26.5,1.77,0.201,17.7,2,6.76,2.14,14.2,9.5,17.8,142,1.5
S86,14,7,Rainout,D,rain.D,15,3,RDBS4,20/07/2022,0-15cm,0.175,85.1,0.4,25.2,25.6,1.83,0.205,18.3,2.1,6.88,1.94,14.9,9.1,16.1,149,1.4
S87,15,8,Control,M,cont.M,15,3,CMBS4,20/07/2022,0-15cm,0.212,82.5,3.7,9.1,12.8,1.21,0.14,12.1,1.4,5.82,0.9,14.2,4.2,7.5,142,0.7
S88,16,8,Rainout,M,rain.M,15,3,RMBS4,20/07/2022,0-15cm,0.155,86.6,21,46.1,67.2,1.2,0.145,12,1.5,5.58,1.75,14.2,5,14.5,142,0.8
S89,17,9,Control,K,cont.K,15,3,CKBS4,20/07/2022,0-15cm,0.248,80.1,3,14.4,17.5,1.42,0.161,14.2,1.6,6.01,1.3,12.4,6.7,10.8,124,1
S90,18,9,Rainout,K,rain.K,15,3,RKBS4,20/07/2022,0-15cm,0.156,86.5,16.2,40.5,56.6,1.37,0.164,13.7,1.6,5.87,1.3,11.8,8.6,10.8,118,1.3
S91,19,10,Control,K,cont.K,16,4,CKBS4,20/07/2022,0-15cm,0.239,80.7,1.3,12.4,13.8,1.44,0.163,14.4,1.6,6.28,0.97,10.9,6.7,8.1,109,1
