SampleID,PlotID,Block,Irrigation,Fertilization,x,rep,rep2,var3,Date,Depth,GWC,TS,NH4,NO3,Nmin_tot,C_tot,N_tot,C_gkg,N_gkg,pH,K_test,Mg_test,P_test,K_mgkg,Mg_mgkg,P_mgkg,log10NH4,logNH4,logNO3,mean.N2Oflux,N2Oflux.cbrt
S73,1,1,Control,CONMIN,cont.M,13,1,CMBS4,Jul20,0-15cm,0.237,80.8,0.1,14,14.1,1.46,0.163,14.6,1.6,6.71,1.11,15.6,6.2,9.2,156,1,0.041392685,0.09531018,2.63905733,0.335,0.694514956
S74,2,1,Rainout,CONMIN,rain.M,13,1,RMBS4,Jul20,0-15cm,0.174,85.2,18.2,58.7,76.9,1.42,0.17,14.2,1.7,6.19,2.55,17,10.6,21.2,170,1.6,1.283301229,2.954910279,4.072439727,0.0535,0.376806102
S75,3,2,Control,BIODYN,cont.D,13,1,CDBS4,Jul20,0-15cm,0.255,79.7,0.1,16.4,16.4,1.65,0.185,16.5,1.9,6.96,1.52,13.6,6.1,12.6,136,0.9,0.041392685,0.09531018,2.797281335,0.0685,0.409163474
S76,4,2,Rainout,BIODYN,rain.D,13,1,RDBS4,Jul20,0-15cm,0.192,83.9,0,25.8,25.8,1.71,0.187,17.1,1.9,6.88,2.07,13.2,8.6,17.2,132,1.3,0,0,3.250374492,0.0605,0.392571221
S77,5,3,Control,CONFYM,cont.K,13,1,CKBS4,Jul20,0-15cm,0.262,79.2,0.5,15.5,15.9,1.45,0.164,14.5,1.6,6.19,1.28,11.6,9.4,10.6,116,1.5,0.176091259,0.405465108,2.740840024,0.296,0.66644437
S78,6,3,Rainout,CONFYM,rain.K,13,1,RKBS4,Jul20,0-15cm,0.161,86.2,13.4,57.9,71.2,1.49,0.177,14.9,1.8,6.17,1.68,11.8,6.5,13.9,118,1,1.158362492,2.667228207,4.058717385,0.0845,0.438819148
S79,7,4,Control,CONFYM,cont.K,14,2,CKBS4,Jul20,0-15cm,0.243,80.4,0.6,12.9,13.6,1.41,0.161,14.1,1.6,6.17,0.92,11,7.2,7.6,110,1.1,0.204119983,0.470003629,2.557227311,0.0485,0.364681651
S80,8,4,Rainout,CONFYM,rain.K,14,2,RKBS4,Jul20,0-15cm,0.167,85.7,16.9,55.7,72.6,1.53,0.173,15.3,1.7,6.08,1.8,12.4,8.9,14.9,124,1.4,1.252853031,2.884800713,4.019980147,0.0485,0.364681651
S81,9,5,Control,CONMIN,cont.M,14,2,CMBS4,Jul20,0-15cm,0.286,77.8,0.9,8,8.9,1.11,0.128,11.1,1.3,5.9,0.57,14.7,3.5,4.7,147,0.5,0.278753601,0.641853886,2.079441542,0.1095,0.47841491
S82,10,5,Rainout,CONMIN,rain.M,14,2,RMBS4,Jul20,0-15cm,0.162,86.1,10.9,42,52.9,1.24,0.145,12.4,1.5,5.92,1.26,15.7,8.2,10.5,157,1.3,1.075546961,2.4765384,3.737669618,0.0705,0.413107461
S83,11,6,Control,BIODYN,cont.D,14,2,CDBS4,Jul20,0-15cm,0.266,79,0,17.7,17.7,1.58,0.179,15.8,1.8,6.88,2.43,13.1,10.3,20.2,131,1.6,0,0,2.87356464,0.0345,0.325541504
S84,12,6,Rainout,BIODYN,rain.D,14,2,RDBS4,Jul20,0-15cm,0.184,84.5,0,26,26,1.64,0.185,16.4,1.9,6.95,2.7,13.2,9.4,22.4,132,1.5,0,0,3.258096538,0.035,0.327106631
S85,13,7,Control,BIODYN,cont.D,15,3,CDBS4,Jul20,0-15cm,0.281,78.1,0.6,26,26.5,1.77,0.201,17.7,2,6.76,2.14,14.2,9.5,17.8,142,1.5,0.204119983,0.470003629,3.258096538,0.056,0.382586237
S86,14,7,Rainout,BIODYN,rain.D,15,3,RDBS4,Jul20,0-15cm,0.175,85.1,0.4,25.2,25.6,1.83,0.205,18.3,2.1,6.88,1.94,14.9,9.1,16.1,149,1.4,0.146128036,0.336472237,3.226843995,0.0365,0.331714372
S87,15,8,Control,CONMIN,cont.M,15,3,CMBS4,Jul20,0-15cm,0.212,82.5,3.7,9.1,12.8,1.21,0.14,12.1,1.4,5.82,0.9,14.2,4.2,7.5,142,0.7,0.672097858,1.547562509,2.208274414,0.0415,0.346217779
S88,16,8,Rainout,CONMIN,rain.M,15,3,RMBS4,Jul20,0-15cm,0.155,86.6,21,46.1,67.2,1.2,0.145,12,1.5,5.58,1.75,14.2,5,14.5,142,0.8,1.342422681,3.091042453,3.83081295,0.1,0.464158883
S89,17,9,Control,CONFYM,cont.K,15,3,CKBS4,Jul20,0-15cm,0.248,80.1,3,14.4,17.5,1.42,0.161,14.2,1.6,6.01,1.3,12.4,6.7,10.8,124,1,0.602059991,1.386294361,2.667228207,0.0545,0.379139326
S90,18,9,Rainout,CONFYM,rain.K,15,3,RKBS4,Jul20,0-15cm,0.156,86.5,16.2,40.5,56.6,1.37,0.164,13.7,1.6,5.87,1.3,11.8,8.6,10.8,118,1.3,1.235528447,2.844909384,3.701301974,0.143,0.522932153
S91,19,10,Control,CONFYM,cont.K,16,4,CKBS4,Jul20,0-15cm,0.239,80.7,1.3,12.4,13.8,1.44,0.163,14.4,1.6,6.28,0.97,10.9,6.7,8.1,109,1,0.361727836,0.832909123,2.517696473,0.1505,0.531918996
S92,20,10,Rainout,CONFYM,rain.K,16,4,RKBS4,Jul20,0-15cm,0.159,86.3,12.7,38.7,51.4,1.34,0.158,13.4,1.6,6.19,1.29,11,6.2,10.7,110,1,1.136720567,2.617395833,3.6558396,0.106,0.473262349
S93,21,11,Control,BIODYN,cont.D,16,4,CDBS4,Jul20,0-15cm,0.29,77.5,0.3,19.3,19.6,1.91,0.216,19.1,2.2,6.75,0.99,16.4,8.3,8.2,164,1.3,0.113943352,0.262364264,2.960105096,0.0495,0.367171023
S94,22,11,Rainout,BIODYN,rain.D,16,4,RDBS4,Jul20,0-15cm,0.195,83.7,0,25.9,25.9,2.17,0.249,21.7,2.5,6.69,1.02,17.3,4.7,8.5,173,0.7,0,0,3.254242969,0.095,0.456290264
S95,23,12,Control,CONMIN,cont.M,16,4,CMBS4,Jul20,0-15cm,0.254,79.7,0.8,9,9.8,1.72,0.202,17.2,2,5.99,0.59,19.5,7.6,4.9,195,1.2,0.255272505,0.587786665,2.197224577,0.09,0.448140475
S96,24,12,Rainout,CONMIN,rain.M,16,4,RMBS4,Jul20,0-15cm,0.184,84.4,12.7,58.1,70.8,1.78,0.215,17.8,2.2,6.13,1.05,19.3,4.6,8.7,193,0.7,1.136720567,2.617395833,4.062165664,0.06,0.391486764
