nr,plot,block,irrigation,fertilization ,type,sampling date,x,var3,AOA_nbc_per_ngDNA,AOA_nbc_per_g_DW_soil,AOA_16S_ratio_percent,AOB_nbc_per_ngDNA,AOB_nbc_per_g_DW_soil,AOB_16S_ratio_percent,AOA_AOB_ratio,AOA_AOB_ratio_percent,ComA_nbc_per_ngDNA,ComA_nbc_per_g_DW_soil,ComA_16S_ratio_percent,ComB_nbc_per_ngDNA,ComB_nbc_per_g_DW_soil,ComB_16S_ratio_percent,ComA_ComB_ratio,ComA_ComB_ratio_percent,Tot_nbc_per_ngDNA,Tot_nbc_per_g_DW_soil
65,17,9,control,K,BS,05/07/2022,cont.K,CKBS3,5.81E+03,2.37E+08,1.8,7.56E+03,3.09E+08,2.35,0.77,76.86130783,1.35E+03,5.51E+07,0.419,2.24E+02,9.16E+06,0.07,6.02,601.6434014,3.22E+05,1.32E+10
66,18,9,rainout,K,BS,05/07/2022,rain.K,RKBS3,7.01E+03,3.31E+08,2.26,8.51E+03,4.02E+08,2.75,0.82,82.37690399,1.26E+03,5.96E+07,0.408,1.56E+02,7.36E+06,0.05,8.11,810.7972994,3.10E+05,1.46E+10
67,19,10,control,K,BS,05/07/2022,cont.K,CKBS3,1.05E+04,4.54E+08,2.07,1.17E+04,5.06E+08,2.3,0.9,89.75903676,2.13E+03,9.21E+07,0.419,3.96E+02,1.72E+07,0.078,5.37,536.8511907,5.07E+05,2.20E+10
68,20,10,rainout,K,BS,05/07/2022,rain.K,RKBS3,7.32E+03,2.59E+08,1.85,7.71E+03,2.73E+08,1.95,0.95,94.90385586,2.00E+03,7.08E+07,0.505,3.36E+02,1.19E+07,0.085,5.95,595.4991222,3.96E+05,1.40E+10
69,21,11,control,D,BS,05/07/2022,cont.D,CDBS3,6.65E+03,4.10E+08,1.76,6.56E+03,4.05E+08,1.74,1.01,101.2552684,2.38E+03,1.47E+08,0.63,3.39E+02,2.09E+07,0.09,7.02,701.5280517,3.78E+05,2.33E+10
70,22,11,rainout,D,BS,05/07/2022,rain.D,RDBS3,8.09E+03,5.54E+08,2.65,6.19E+03,4.24E+08,2.03,1.31,130.6994267,2.31E+03,1.58E+08,0.756,2.45E+02,1.68E+07,0.08,9.43,943.4992996,3.06E+05,2.09E+10
71,23,12,control,M,BS,05/07/2022,cont.M,CMBS3,5.94E+03,2.49E+08,1.55,8.74E+03,3.65E+08,2.28,0.68,67.9961729,2.37E+03,9.92E+07,0.62,2.52E+02,1.06E+07,0.066,9.39,939.4472239,3.82E+05,1.60E+10
72,24,12,rainout,M,BS,05/07/2022,rain.M,RMBS3,8.21E+03,3.83E+08,1.74,9.47E+03,4.42E+08,2.01,0.87,86.74173708,2.60E+03,1.21E+08,0.551,2.84E+02,1.32E+07,0.06,9.15,914.7084812,4.71E+05,2.20E+10
73,1,1,control,M,BS,20/07/2022,cont.M,CMBS4,8.97E+03,3.65E+08,NA,1.04E+04,4.22E+08,NA,0.86,86.39918903,1.45E+03,5.91E+07,NA,2.40E+02,9.75E+06,NA,6.06,605.6028348,NA,NA
74,2,1,rainout,M,BS,20/07/2022,rain.M,RMBS4,7.50E+03,2.38E+08,1.64,8.19E+03,2.60E+08,1.79,0.92,91.53297173,1.17E+03,3.70E+07,0.255,1.89E+02,6.00E+06,0.041,6.18,617.5707799,4.58E+05,1.45E+10
75,3,2,control,D,BS,20/07/2022,cont.D,CDBS4,7.82E+03,3.88E+08,2.31,5.94E+03,2.95E+08,1.75,1.32,131.6782751,1.23E+03,6.13E+07,0.364,2.26E+02,1.12E+07,0.067,5.46,546.4562647,3.39E+05,1.68E+10
76,4,2,rainout,D,BS,20/07/2022,rain.D,RDBS4,6.68E+03,3.03E+08,2.05,7.01E+03,3.18E+08,2.15,0.95,95.33573504,1.22E+03,5.52E+07,0.372,1.50E+02,6.79E+06,0.046,8.13,812.9597079,3.27E+05,1.48E+10
77,5,3,control,K,BS,20/07/2022,cont.K,CKBS4,5.13E+03,2.11E+08,1.9,1.14E+04,4.70E+08,4.24,0.45,44.91501287,1.21E+03,4.97E+07,0.448,1.39E+02,5.74E+06,0.052,8.66,866.2434137,2.70E+05,1.11E+10
78,6,3,rainout,K,BS,20/07/2022,rain.K,RKBS4,8.99E+03,4.01E+08,2.34,9.85E+03,4.39E+08,2.56,0.91,91.23258887,1.43E+03,6.40E+07,0.373,1.76E+02,7.83E+06,0.046,8.17,816.808775,3.85E+05,1.72E+10
79,7,4,control,K,BS,20/07/2022,cont.K,CKBS4,9.90E+03,4.28E+08,2.4,9.17E+03,3.97E+08,2.23,1.08,107.9001419,2.67E+03,1.15E+08,0.647,3.09E+02,1.34E+07,0.075,8.62,862.2654946,4.12E+05,1.78E+10
80,8,4,rainout,K,BS,20/07/2022,rain.K,RKBS4,6.80E+03,2.85E+08,2.07,7.85E+03,3.30E+08,2.39,0.87,86.57345489,1.70E+03,7.13E+07,0.516,1.77E+02,7.41E+06,0.054,9.62,961.7605808,3.29E+05,1.38E+10
81,9,5,control,M,BS,20/07/2022,cont.M,CMBS4,7.37E+03,1.99E+08,2.36,9.19E+03,2.48E+08,2.94,0.8,80.22788774,2.13E+03,5.75E+07,0.683,2.32E+02,6.25E+06,0.074,9.2,919.9961135,3.12E+05,8.42E+09
82,10,5,rainout,M,BS,20/07/2022,rain.M,RMBS4,4.97E+03,1.45E+08,1.63,8.57E+03,2.50E+08,2.82,0.58,57.97098322,1.55E+03,4.53E+07,0.51,1.39E+02,4.07E+06,0.046,11.12,1112.270879,3.04E+05,8.88E+09
83,11,6,control,D,BS,20/07/2022,cont.D,CDBS4,8.12E+03,4.35E+08,2.28,5.66E+03,3.03E+08,1.59,1.44,143.5241734,1.84E+03,9.86E+07,0.517,2.65E+02,1.42E+07,0.074,6.96,695.737657,3.57E+05,1.91E+10
84,12,6,rainout,D,BS,20/07/2022,rain.D,RDBS4,1.24E+04,6.20E+08,2.54,7.21E+03,3.62E+08,1.48,1.71,171.2634069,1.89E+03,9.48E+07,0.389,2.59E+02,1.30E+07,0.053,7.29,728.6032951,4.86E+05,2.44E+10
85,13,7,control,D,BS,20/07/2022,cont.D,CDBS4,5.83E+03,3.46E+08,1.85,6.83E+03,4.06E+08,2.17,0.85,85.35091759,1.43E+03,8.51E+07,0.455,2.61E+02,1.55E+07,0.083,5.48,548.1214941,3.15E+05,1.87E+10
86,14,7,rainout,D,BS,20/07/2022,rain.D,RDBS4,8.13E+03,4.24E+08,1.93,7.09E+03,3.70E+08,1.69,1.15,114.5820605,1.39E+03,7.23E+07,0.33,2.28E+02,1.19E+07,0.054,6.08,607.9083437,4.20E+05,2.19E+10
87,15,8,control,M,BS,20/07/2022,cont.M,CMBS4,4.52E+03,1.36E+08,1.7,5.30E+03,1.59E+08,2,0.85,85.34046635,1.36E+03,4.09E+07,0.512,1.63E+02,4.88E+06,0.061,8.37,836.6945531,2.65E+05,7.97E+09
88,16,8,rainout,M,BS,20/07/2022,rain.M,RMBS4,3.00E+03,8.47E+07,1.2,5.64E+03,1.59E+08,2.26,0.53,53.25408925,9.76E+02,2.75E+07,0.39,8.92E+01,2.51E+06,0.036,10.94,1093.88805,2.50E+05,7.05E+09
89,17,9,control,K,BS,20/07/2022,cont.K,CKBS4,6.75E+03,2.92E+08,2.04,7.30E+03,3.15E+08,2.2,0.92,92.42557624,1.27E+03,5.50E+07,0.384,2.33E+02,1.01E+07,0.07,5.47,547.0007021,3.31E+05,1.43E+10
90,18,9,rainout,K,BS,20/07/2022,rain.K,RKBS4,8.28E+03,2.92E+08,2.53,7.08E+03,2.50E+08,2.16,1.17,116.9322374,1.22E+03,4.31E+07,0.374,1.51E+02,5.34E+06,0.046,8.09,808.5048766,3.27E+05,1.15E+10
